post_id,post_type,likes,comments,date_posted,vectorize,content,metadata,username
3485979788280300403,static-image,24345,133,2024-10-24T14:46:35,"A post with username:""arshgoyalyt"", post_id: ""3485979788280300403"", post_type: ""static-image"", likes: 24345, comments: 133, date_posted: ""2024-10-24T14:46:35"".","A post with username:""arshgoyalyt"", post_id: ""3485979788280300403"", post_type: ""static-image"", likes: 24345, comments: 133, date_posted: ""2024-10-24T14:46:35"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
3222263081887256391,static-image,22537,92,2023-10-26T18:08:34,"A post with username:""arshgoyalyt"", post_id: ""3222263081887256391"", post_type: ""static-image"", likes: 22537, comments: 92, date_posted: ""2023-10-26T18:08:34"".","A post with username:""arshgoyalyt"", post_id: ""3222263081887256391"", post_type: ""static-image"", likes: 22537, comments: 92, date_posted: ""2023-10-26T18:08:34"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
3269306868398720151,reels,4857,77,2023-12-30T15:57:21,"A post with username:""arshgoyalyt"", post_id: ""3269306868398720151"", post_type: ""reels"", likes: 4857, comments: 77, date_posted: ""2023-12-30T15:57:21"".","A post with username:""arshgoyalyt"", post_id: ""3269306868398720151"", post_type: ""reels"", likes: 4857, comments: 77, date_posted: ""2023-12-30T15:57:21"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3538929025751589428,reels,1330,63,2025-01-05T16:08:48,"A post with username:""arshgoyalyt"", post_id: ""3538929025751589428"", post_type: ""reels"", likes: 1330, comments: 63, date_posted: ""2025-01-05T16:08:48"".","A post with username:""arshgoyalyt"", post_id: ""3538929025751589428"", post_type: ""reels"", likes: 1330, comments: 63, date_posted: ""2025-01-05T16:08:48"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3538669895357133640,reels,1041,6,2025-01-05T07:42:25,"A post with username:""arshgoyalyt"", post_id: ""3538669895357133640"", post_type: ""reels"", likes: 1041, comments: 6, date_posted: ""2025-01-05T07:42:25"".","A post with username:""arshgoyalyt"", post_id: ""3538669895357133640"", post_type: ""reels"", likes: 1041, comments: 6, date_posted: ""2025-01-05T07:42:25"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3538127207685486386,reels,1557,32,2025-01-04T13:34:46,"A post with username:""arshgoyalyt"", post_id: ""3538127207685486386"", post_type: ""reels"", likes: 1557, comments: 32, date_posted: ""2025-01-04T13:34:46"".","A post with username:""arshgoyalyt"", post_id: ""3538127207685486386"", post_type: ""reels"", likes: 1557, comments: 32, date_posted: ""2025-01-04T13:34:46"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3537412241515229129,reels,1904,89,2025-01-03T13:59:20,"A post with username:""arshgoyalyt"", post_id: ""3537412241515229129"", post_type: ""reels"", likes: 1904, comments: 89, date_posted: ""2025-01-03T13:59:20"".","A post with username:""arshgoyalyt"", post_id: ""3537412241515229129"", post_type: ""reels"", likes: 1904, comments: 89, date_posted: ""2025-01-03T13:59:20"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3536754590032826364,reels,6192,103,2025-01-02T16:24:56,"A post with username:""arshgoyalyt"", post_id: ""3536754590032826364"", post_type: ""reels"", likes: 6192, comments: 103, date_posted: ""2025-01-02T16:24:56"".","A post with username:""arshgoyalyt"", post_id: ""3536754590032826364"", post_type: ""reels"", likes: 6192, comments: 103, date_posted: ""2025-01-02T16:24:56"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3535887508386825197,reels,1321,433,2025-01-01T11:28:05,"A post with username:""arshgoyalyt"", post_id: ""3535887508386825197"", post_type: ""reels"", likes: 1321, comments: 433, date_posted: ""2025-01-01T11:28:05"".","A post with username:""arshgoyalyt"", post_id: ""3535887508386825197"", post_type: ""reels"", likes: 1321, comments: 433, date_posted: ""2025-01-01T11:28:05"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3535298888042866915,static-image,12239,37,2024-12-31T15:54:50,"A post with username:""arshgoyalyt"", post_id: ""3535298888042866915"", post_type: ""static-image"", likes: 12239, comments: 37, date_posted: ""2024-12-31T15:54:50"".","A post with username:""arshgoyalyt"", post_id: ""3535298888042866915"", post_type: ""static-image"", likes: 12239, comments: 37, date_posted: ""2024-12-31T15:54:50"".","{'post_type': 'static-image', 'username': 'arshgoyalyt'}",arshgoyalyt
3535152219456487920,reels,572,22,2024-12-31T11:07:19,"A post with username:""arshgoyalyt"", post_id: ""3535152219456487920"", post_type: ""reels"", likes: 572, comments: 22, date_posted: ""2024-12-31T11:07:19"".","A post with username:""arshgoyalyt"", post_id: ""3535152219456487920"", post_type: ""reels"", likes: 572, comments: 22, date_posted: ""2024-12-31T11:07:19"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3535056262622428062,reels,2402,1662,2024-12-31T07:57:52,"A post with username:""arshgoyalyt"", post_id: ""3535056262622428062"", post_type: ""reels"", likes: 2402, comments: 1662, date_posted: ""2024-12-31T07:57:52"".","A post with username:""arshgoyalyt"", post_id: ""3535056262622428062"", post_type: ""reels"", likes: 2402, comments: 1662, date_posted: ""2024-12-31T07:57:52"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3534511123982326421,reels,1515,145,2024-12-30T13:51:05,"A post with username:""arshgoyalyt"", post_id: ""3534511123982326421"", post_type: ""reels"", likes: 1515, comments: 145, date_posted: ""2024-12-30T13:51:05"".","A post with username:""arshgoyalyt"", post_id: ""3534511123982326421"", post_type: ""reels"", likes: 1515, comments: 145, date_posted: ""2024-12-30T13:51:05"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3533117461521904542,reels,4574,18,2024-12-28T15:43:59,"A post with username:""arshgoyalyt"", post_id: ""3533117461521904542"", post_type: ""reels"", likes: 4574, comments: 18, date_posted: ""2024-12-28T15:43:59"".","A post with username:""arshgoyalyt"", post_id: ""3533117461521904542"", post_type: ""reels"", likes: 4574, comments: 18, date_posted: ""2024-12-28T15:43:59"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3532923385581324855,reels,3223,16,2024-12-28T09:20:29,"A post with username:""arshgoyalyt"", post_id: ""3532923385581324855"", post_type: ""reels"", likes: 3223, comments: 16, date_posted: ""2024-12-28T09:20:29"".","A post with username:""arshgoyalyt"", post_id: ""3532923385581324855"", post_type: ""reels"", likes: 3223, comments: 16, date_posted: ""2024-12-28T09:20:29"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3526510907584860150,reels,841,573,2024-12-19T13:07:04,"A post with username:""arshgoyalyt"", post_id: ""3526510907584860150"", post_type: ""reels"", likes: 841, comments: 573, date_posted: ""2024-12-19T13:07:04"".","A post with username:""arshgoyalyt"", post_id: ""3526510907584860150"", post_type: ""reels"", likes: 841, comments: 573, date_posted: ""2024-12-19T13:07:04"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3523600996450240937,reels,9342,31,2024-12-15T12:39:26,"A post with username:""arshgoyalyt"", post_id: ""3523600996450240937"", post_type: ""reels"", likes: 9342, comments: 31, date_posted: ""2024-12-15T12:39:26"".","A post with username:""arshgoyalyt"", post_id: ""3523600996450240937"", post_type: ""reels"", likes: 9342, comments: 31, date_posted: ""2024-12-15T12:39:26"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3521476180098123512,reels,793,115,2024-12-12T14:13:44,"A post with username:""arshgoyalyt"", post_id: ""3521476180098123512"", post_type: ""reels"", likes: 793, comments: 115, date_posted: ""2024-12-12T14:13:44"".","A post with username:""arshgoyalyt"", post_id: ""3521476180098123512"", post_type: ""reels"", likes: 793, comments: 115, date_posted: ""2024-12-12T14:13:44"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3520747004323775635,reels,3514,21,2024-12-11T14:07:15,"A post with username:""arshgoyalyt"", post_id: ""3520747004323775635"", post_type: ""reels"", likes: 3514, comments: 21, date_posted: ""2024-12-11T14:07:15"".","A post with username:""arshgoyalyt"", post_id: ""3520747004323775635"", post_type: ""reels"", likes: 3514, comments: 21, date_posted: ""2024-12-11T14:07:15"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3520003915657480941,reels,1364,42,2024-12-10T13:30:07,"A post with username:""arshgoyalyt"", post_id: ""3520003915657480941"", post_type: ""reels"", likes: 1364, comments: 42, date_posted: ""2024-12-10T13:30:07"".","A post with username:""arshgoyalyt"", post_id: ""3520003915657480941"", post_type: ""reels"", likes: 1364, comments: 42, date_posted: ""2024-12-10T13:30:07"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
3519256768840479086,reels,3012,2813,2024-12-09T12:43:24,"A post with username:""arshgoyalyt"", post_id: ""3519256768840479086"", post_type: ""reels"", likes: 3012, comments: 2813, date_posted: ""2024-12-09T12:43:24"".","A post with username:""arshgoyalyt"", post_id: ""3519256768840479086"", post_type: ""reels"", likes: 3012, comments: 2813, date_posted: ""2024-12-09T12:43:24"".","{'post_type': 'reels', 'username': 'arshgoyalyt'}",arshgoyalyt
